RBD;Puntos de red
60;27
133;20
208;32
253;13
255;27
256;50
341;12
344;25
433;24
570;13
579;29
769;26
967;20
969;20
982;20
987;28
1013;14
1014;14
1048;19
1049;20
1051;12
1119;20
1167;17
1168;18
1194;28
1196;14
1197;29
1206;17
1211;10
1213;56
1233;18
1335;24
1336;19
1347;27
1352;26
1363;20
1364;16
1366;18
1368;24
1370;14
1395;28
1444;15
1445;16
1447;12
1449;26
1503;34
1604;30
1738;27
1756;28
1795;30
1858;32
1909;27
1996;21
1997;14
1998;10
1999;16
2013;27
2014;10
2018;28
2021;19
2026;18
2042;26
2064;19
2065;19
2066;19
2074;10
2075;21
2084;34
2155;17
2206;17
2207;17
2209;9
2222;13
2223;18
2247;25
2249;18
2250;11
2280;16
2283;17
2284;18
2285;14
2289;18
2308;29
2310;18
2330;31
2339;19
2442;22
2443;23
2454;50
2455;31
2485;14
2532;26
2625;13
2733;14
2734;20
2736;15
2738;17
2742;18
2744;25
2745;16
2753;18
2794;26
2942;18
2945;18
2946;19
2948;30
2950;16
2957;9
2958;9
2965;10
2978;10
2979;14
2997;25
3006;48
3017;26
3055;20
3056;19
3059;14
3060;18
3108;14
3111;19
3127;10
3163;20
3296;-
3348;17
3349;20
3432;35
3608;28
3641;32
3656;22
3657;26
3711;26
3718;42
3797;32
3977;26
4140;62
4163;37
4164;27
4166;23
4169;11
4171;8
4173;10
4174;18
4175;20
4176;14
4179;19
4180;18
4185;20
4263;26
4287;16
4288;22
4353;16
4481;10
4482;28
4483;38
4646;36
4662;42
4669;27
4746;10
4805;22
4806;10
4807;18
4811;15
4825;18
4829;24
4830;33
4831;11
4834;20
4835;10
4841;10
4843;14
5010;9
5216;17
5218;22
5219;26
5220;10
5221;18
5224;17
5264;38
5282;23
5283;18
5284;12
5286;17
5343;13
5393;27
5394;18
5395;19
5396;12
5398;10
5435;28
5439;16
5440;16
5441;20
5465;28
5613;28
5654;91
5682;11
5813;35
5814;32
5897;28
6051;12
6052;27
6070;12
6071;18
6084;16
6085;23
6086;19
6087;18
6090;20
6112;26
6115;18
6118;27
6120;35
6163;17
6164;11
6223;21
6224;20
6253;28
6301;14
6302;22
6304;29
6336;38
6708;16
6709;14
6983;29
7128;28
7129;31
7133;10
7183;13
7276;26
7299;26
7332;11
7337;16
7352;14
7401;26
7629;20
7630;14
7631;18
7643;9
7659;14
7696;9
7706;40
7707;34
7709;26
7942;26
7989;13
8005;23
8047;18
8105;20
8147;10
8161;18
8174;38
8325;14
8368;22
8485;54
8488;15
8489;16
8491;27
8492;13
8494;12
8498;39
8501;19
8502;10
8503;20
8505;17
8510;12
8513;18
8515;9
8520;13
8522;19
8529;6
8531;19
8532;13
8535;14
8536;10
8548;15
8552;19
8554;7
8561;10
8562;12
8563;19
8569;10
8572;9
8576;5
8581;10
8614;28
8623;8
8649;14
8674;11
8675;27
8697;29
8756;42
8813;25
8814;12
8818;26
8821;42
8825;37
8927;41
8928;33
8930;14
8933;28
8942;28
8954;31
9058;13
9063;28
9070;18
9071;22
9082;19
9091;11
9102;18
9131;16
9147;24
9206;28
9282;10
9284;18
9285;14
9288;18
9289;10
9293;14
9294;14
9296;11
9302;10
9347;37
9373;26
9408;15
9409;20
9472;39
9474;25
9484;27
9502;16
9534;38
9584;12
9634;60
9642;31
9659;39
9684;25
9694;12
9768;34
9779;20
9780;33
9781;36
9786;18
9796;22
9810;27
9866;21
9903;20
9909;64
9924;38
9947;41
9950;20
9957;22
9982;11
10149;5
10158;26
10162;34
10228;25
10254;11
10267;15
10270;20
10282;10
10291;10
10306;15
10329;26
10333;18
10344;28
10350;25
10397;17
10399;28
10400;19
10401;18
10403;18
10404;18
10405;32
10407;18
10408;17
10409;10
10410;10
10411;13
10415;49
10432;29
10433;23
10487;92
10516;21
10519;10
10520;26
10524;10
10526;14
10527;20
10540;14
10541;31
10608;35
10610;32
10618;48
10663;24
10666;23
10667;19
10713;27
10721;45
10735;19
10737;20
10738;18
10740;10
10773;48
10791;18
10794;10
10831;30
10832;75
10873;28
10915;39
10962;37
11145;14
11256;31
11277;13
11339;20
11342;27
11394;31
11420;5
11430;26
11591;14
11608;9
11677;28
11718;9
11743;10
11789;17
11914;10
11965;28
12001;19
12033;13
12217;29
12242;19
12244;58
12312;14
12336;14
12534;46
12547;44
12604;26
12649;32
12650;34
12672;23
12686;29
12693;28
12712;28
12749;27
12838;26
12963;48
12977;32
13344;28
13420;32
13486;33
13586;44
14201;25
14208;18
14348;27
14359;48
14479;18
14506;26
14592;51
14608;28
14616;26
14670;27
14671;26
14775;14
14790;40
14866;32
14877;12
14879;67
15515;10
15583;15
15614;23
15646;58
15662;28
15664;39
15665;5
15700;26
15720;14
15724;18
15759;14
15762;10
15812;18
15843;17
16415;39
16427;25
16434;12
16446;32
16448;30
16460;18
16467;21
16541;26
16580;17
16676;38
16716;26
16728;28
16843;27
16844;14
16851;14
16955;24
16958;14
17600;52
17687;28
17690;10
17693;10
17703;27
17782;18
17787;16
17813;13
17818;19
17828;8
17877;26
17885;28
17908;28
17918;28
18014;14
18015;10
18028;28
18099;14
18172;32
18237;28
19983;29
19993;8
20121;10
20200;15
20290;25
20376;25
20436;21
20440;12
20466;9
20478;22
20508;10
22007;28
22027;14
22191;27
22306;13
22351;28
22403;12
22436;55
22464;13
22499;30
22516;26
22560;26
22565;25
22686;10
22758;18
24230;29
24401;11
24427;26
24446;11
24473;16
24496;10
24498;15
24622;28
24626;48
24638;13
24685;82
24733;45
24864;25
24878;71
24892;25
24946;76
24954;8
24956;28
24959;10
24989;9
25012;29
25026;31
25027;25
25039;26
25082;26
25091;64
25198;50
25215;38
25238;26
25347;26
25367;25
25369;84
25371;36
25389;46
25395;28
25396;37
25465;8
25481;29
25523;42
25550;38
25558;26
25562;35
25580;26
25599;37
25655;26
25700;30
25704;30
25711;28
25713;18
25717;41
25722;28
25739;30
25749;73
25829;26
25855;25
25895;22
25922;35
25926;31
25929;29
25936;22
25988;42
25999;72
26001;40
26035;30
26037;48
26045;25
26094;29
26110;24
26135;42
26269;25
26362;25
26368;30
26372;30
26378;14
26381;26
26436;71
26454;28
31030;33
31071;24
31154;11
31193;6
31203;27
31253;16
31327;69
31340;58
31421;18
31432;21
31500;10
40006;27
40025;29
40038;11
40080;17
40194;30
40298;29
40351;23
897;27
968;24
1318;30
2389;19
2411;25
2412;33
2415;14
2583;24
2823;16
3479;38
3480;22
3481;15
3549;14
3742;62
3743;29
3802;26
3835;22
3843;14
3976;30
4102;35
4103;18
4104;26
4331;14
4333;9
4404;28
4405;23
4406;20
4451;10
4452;22
4454;19
4455;19
4617;16
4838;10
4925;10
4926;22
5126;28
5127;21
5131;22
5154;26
5215;16
5226;38
5229;41
5471;26
5599;23
5829;13
6027;25
6273;23
8388;18
8391;14
8487;37
8490;21
8496;25
8499;53
8530;16
8533;11
8549;12
8553;17
8556;27
8558;20
9581;8
9591;15
9869;16
9875;24
9886;22
9888;16
10268;18
10279;12
10283;15
10285;12
10305;12
10309;27
10725;37
10726;35
10727;26
10729;28
10746;8
10748;7
10754;7
10758;8
10785;15
10786;14
10792;31
10795;13
10797;14
10799;16
11287;33
15526;21
16751;9
16754;23
16879;13
17662;27
17751;20
17790;26
18002;29
18012;24
18017;36
20393;4
22504;32
24403;26
24876;26
25539;32
1;20
4;27
5;23
7;40
8;22
9;38
11;13
12;11
13;10
14;10
15;12
16;10
17;15
18;14
19;10
20;20
22;31
25;27
26;10
27;8
28;16
29;20
31;12
32;25
36;10
38;17
78;12
379;24
384;20
396;22
399;28
400;30
405;22
406;29
407;19
408;26
410;18
411;20
415;26
416;21
417;20
421;27
427;10
442;13
444;21
448;24
449;22
450;10
452;9
453;20
454;24
455;10
458;10
459;19
461;11
462;10
464;18
481;17
489;13
609;24
610;13
611;9
612;10
613;13
614;10
615;10
616;21
617;10
618;20
620;16
621;10
625;10
626;21
628;10
629;22
630;11
631;9
632;11
637;10
656;12
657;10
658;9
1502;33
1514;10
1517;21
1518;15
1521;18
1522;14
1523;20
1524;8
1526;8
1528;10
1529;18
1542;23
1543;9
1549;20
1553;15
1554;8
1557;10
1568;5
1569;9
1570;13
1577;9
2458;12
2486;29
2566;9
4531;24
4548;10
4553;18
4555;13
4557;8
4560;18
4563;12
4564;39
4565;14
4569;10
4571;15
4572;18
4574;30
4575;21
4576;11
4577;14
4579;10
4585;14
4588;27
4589;12
4591;19
4592;11
4869;11
4870;8
4871;12
4897;22
4898;20
6348;12
6349;12
6397;12
6398;14
6399;10
6452;18
6457;10
6497;25
6499;10
6500;34
6501;20
6585;22
6587;20
6588;10
6589;10
7720;14
7956;14
10010;10
10074;10
10076;30
10077;16
10080;14
10081;27
10083;17
10085;10
10086;10
10087;10
10088;10
10089;19
10090;18
10091;20
10092;10
10097;10
10098;10
10100;10
10102;10
10103;20
10104;11
10105;20
10106;24
10107;10
10108;6
10109;10
10113;17
10114;9
10116;16
10117;10
10119;18
10121;10
10122;9
10123;16
10124;11
10125;10
10126;14
10128;17
10130;14
10134;9
10135;8
10911;21
11139;20
11548;10
12058;20
12146;13
12501;10
12610;14
13121;10
13145;28
13154;20
13163;23
13167;20
13168;19
13170;18
13176;8
13177;20
13181;17
13185;21
13202;12
13461;8
13557;10
13558;16
13559;14
13560;10
13561;14
13562;10
15608;11
18065;12
18112;18
22012;10
24412;18
24754;14
24889;30
25047;18
25315;12
31288;10
40340;10
